candidate_id,rank,score,reasoning
CAND_0004402,1,0.6663,"Rank 1: blended fit 0.67 (semantic match 0.60, behavioral engagement 0.82). Weaker fit — included as a lower-rank option."
CAND_0093193,2,0.6661,"Rank 2: blended fit 0.67 (semantic match 0.61, behavioral engagement 0.80). Weaker fit — included as a lower-rank option."
CAND_0064326,3,0.6644,"Rank 3: blended fit 0.66 (semantic match 0.61, behavioral engagement 0.80). Weaker fit — included as a lower-rank option."
CAND_0081846,4,0.6617,"Rank 4: blended fit 0.66 (semantic match 0.60, behavioral engagement 0.82). Weaker fit — included as a lower-rank option."
CAND_0053591,5,0.6611,"Rank 5: blended fit 0.66 (semantic match 0.62, behavioral engagement 0.75). Weaker fit — included as a lower-rank option."
CAND_0006567,6,0.6585,"Rank 6: blended fit 0.66 (semantic match 0.61, behavioral engagement 0.77). Weaker fit — included as a lower-rank option."
CAND_0046132,7,0.6581,"Rank 7: blended fit 0.66 (semantic match 0.58, behavioral engagement 0.83). Weaker fit — included as a lower-rank option."
CAND_0054318,8,0.6579,"Rank 8: blended fit 0.66 (semantic match 0.59, behavioral engagement 0.81). Weaker fit — included as a lower-rank option."
CAND_0046525,9,0.6578,"Rank 9: blended fit 0.66 (semantic match 0.60, behavioral engagement 0.80). Weaker fit — included as a lower-rank option."
CAND_0002025,10,0.6564,"Rank 10: blended fit 0.66 (semantic match 0.59, behavioral engagement 0.81). Weaker fit — included as a lower-rank option."
CAND_0011327,11,0.6556,"Rank 11: blended fit 0.66 (semantic match 0.60, behavioral engagement 0.80). Weaker fit — included as a lower-rank option."
CAND_0034164,12,0.6543,"Rank 12: blended fit 0.65 (semantic match 0.59, behavioral engagement 0.81). Weaker fit — included as a lower-rank option."
CAND_0005538,13,0.6542,"Rank 13: blended fit 0.65 (semantic match 0.59, behavioral engagement 0.79). Weaker fit — included as a lower-rank option."
CAND_0055905,14,0.6542,"Rank 14: blended fit 0.65 (semantic match 0.60, behavioral engagement 0.78). Weaker fit — included as a lower-rank option."
CAND_0071974,15,0.6527,"Rank 15: blended fit 0.65 (semantic match 0.60, behavioral engagement 0.77). Weaker fit — included as a lower-rank option."
CAND_0084819,16,0.6524,"Rank 16: blended fit 0.65 (semantic match 0.60, behavioral engagement 0.78). Weaker fit — included as a lower-rank option."
CAND_0011687,17,0.6477,"Rank 17: blended fit 0.65 (semantic match 0.58, behavioral engagement 0.80). Weaker fit — included as a lower-rank option."
CAND_0098454,18,0.6472,"Rank 18: blended fit 0.65 (semantic match 0.58, behavioral engagement 0.81). Weaker fit — included as a lower-rank option."
CAND_0076831,19,0.6470,"Rank 19: blended fit 0.65 (semantic match 0.62, behavioral engagement 0.70). Weaker fit — included as a lower-rank option."
CAND_0039754,20,0.6459,"Rank 20: blended fit 0.65 (semantic match 0.60, behavioral engagement 0.75). Weaker fit — included as a lower-rank option."
CAND_0043860,21,0.6455,"Rank 21: blended fit 0.65 (semantic match 0.57, behavioral engagement 0.81). Weaker fit — included as a lower-rank option."
CAND_0073007,22,0.6455,"Rank 22: blended fit 0.65 (semantic match 0.59, behavioral engagement 0.76). Weaker fit — included as a lower-rank option."
CAND_0099806,23,0.6448,"Rank 23: blended fit 0.64 (semantic match 0.61, behavioral engagement 0.74). Weaker fit — included as a lower-rank option."
CAND_0008425,24,0.6444,"Rank 24: blended fit 0.64 (semantic match 0.61, behavioral engagement 0.72). Weaker fit — included as a lower-rank option."
CAND_0053605,25,0.6421,"Rank 25: blended fit 0.64 (semantic match 0.56, behavioral engagement 0.83). Weaker fit — included as a lower-rank option."
CAND_0094685,26,0.6408,"Rank 26: blended fit 0.64 (semantic match 0.61, behavioral engagement 0.71). Weaker fit — included as a lower-rank option."
CAND_0079064,27,0.6402,"Rank 27: blended fit 0.64 (semantic match 0.59, behavioral engagement 0.75). Weaker fit — included as a lower-rank option."
CAND_0046064,28,0.6385,"Rank 28: blended fit 0.64 (semantic match 0.59, behavioral engagement 0.75). Weaker fit — included as a lower-rank option."
CAND_0041918,29,0.6382,"Rank 29: blended fit 0.64 (semantic match 0.59, behavioral engagement 0.75). Weaker fit — included as a lower-rank option."
CAND_0042506,30,0.6382,"Rank 30: blended fit 0.64 (semantic match 0.59, behavioral engagement 0.76). Weaker fit — included as a lower-rank option."
CAND_0018499,31,0.6381,"Rank 31: blended fit 0.64 (semantic match 0.56, behavioral engagement 0.82). Weaker fit — included as a lower-rank option."
CAND_0070525,32,0.6380,"Rank 32: blended fit 0.64 (semantic match 0.56, behavioral engagement 0.83). Weaker fit — included as a lower-rank option."
CAND_0077337,33,0.6378,"Rank 33: blended fit 0.64 (semantic match 0.59, behavioral engagement 0.75). Weaker fit — included as a lower-rank option."
CAND_0022484,34,0.6376,"Rank 34: blended fit 0.64 (semantic match 0.61, behavioral engagement 0.70). Weaker fit — included as a lower-rank option."
CAND_0088025,35,0.6376,"Rank 35: blended fit 0.64 (semantic match 0.59, behavioral engagement 0.74). Weaker fit — included as a lower-rank option."
CAND_0012256,36,0.6369,"Rank 36: blended fit 0.64 (semantic match 0.64, behavioral engagement 0.63). Weaker fit — included as a lower-rank option."
CAND_0051936,37,0.6369,"Rank 37: blended fit 0.64 (semantic match 0.56, behavioral engagement 0.82). Weaker fit — included as a lower-rank option."
CAND_0043829,38,0.6368,"Rank 38: blended fit 0.64 (semantic match 0.58, behavioral engagement 0.76). Weaker fit — included as a lower-rank option."
CAND_0098846,39,0.6364,"Rank 39: blended fit 0.64 (semantic match 0.59, behavioral engagement 0.75). Weaker fit — included as a lower-rank option."
CAND_0052712,40,0.6362,"Rank 40: blended fit 0.64 (semantic match 0.58, behavioral engagement 0.77). Weaker fit — included as a lower-rank option."
CAND_0072688,41,0.6358,"Rank 41: blended fit 0.64 (semantic match 0.54, behavioral engagement 0.85). Weaker fit — included as a lower-rank option."
CAND_0007778,42,0.6353,"Rank 42: blended fit 0.64 (semantic match 0.62, behavioral engagement 0.67). Weaker fit — included as a lower-rank option."
CAND_0068932,43,0.6347,"Rank 43: blended fit 0.63 (semantic match 0.56, behavioral engagement 0.82). Weaker fit — included as a lower-rank option."
CAND_0075481,44,0.6347,"Rank 44: blended fit 0.63 (semantic match 0.55, behavioral engagement 0.84). Weaker fit — included as a lower-rank option."
CAND_0020991,45,0.6341,"Rank 45: blended fit 0.63 (semantic match 0.56, behavioral engagement 0.80). Weaker fit — included as a lower-rank option."
CAND_0073883,46,0.6341,"Rank 46: blended fit 0.63 (semantic match 0.56, behavioral engagement 0.81). Weaker fit — included as a lower-rank option."
CAND_0081852,47,0.6340,"Rank 47: blended fit 0.63 (semantic match 0.59, behavioral engagement 0.74). Weaker fit — included as a lower-rank option."
CAND_0007008,48,0.6339,"Rank 48: blended fit 0.63 (semantic match 0.59, behavioral engagement 0.75). Weaker fit — included as a lower-rank option."
CAND_0024878,49,0.6335,"Rank 49: blended fit 0.63 (semantic match 0.56, behavioral engagement 0.81). Weaker fit — included as a lower-rank option."
CAND_0058688,50,0.6333,"Rank 50: blended fit 0.63 (semantic match 0.58, behavioral engagement 0.76). Weaker fit — included as a lower-rank option."
CAND_0062247,51,0.6333,"Rank 51: blended fit 0.63 (semantic match 0.58, behavioral engagement 0.75). Weaker fit — included as a lower-rank option."
CAND_0058575,52,0.6328,"Rank 52: blended fit 0.63 (semantic match 0.61, behavioral engagement 0.68). Weaker fit — included as a lower-rank option."
CAND_0040887,53,0.6326,"Rank 53: blended fit 0.63 (semantic match 0.54, behavioral engagement 0.84). Weaker fit — included as a lower-rank option."
CAND_0077498,54,0.6321,"Rank 54: blended fit 0.63 (semantic match 0.56, behavioral engagement 0.81). Weaker fit — included as a lower-rank option."
CAND_0023458,55,0.6317,"Rank 55: blended fit 0.63 (semantic match 0.59, behavioral engagement 0.74). Weaker fit — included as a lower-rank option."
CAND_0052335,56,0.6314,"Rank 56: blended fit 0.63 (semantic match 0.59, behavioral engagement 0.73). Weaker fit — included as a lower-rank option."
CAND_0035879,57,0.6309,"Rank 57: blended fit 0.63 (semantic match 0.59, behavioral engagement 0.74). Weaker fit — included as a lower-rank option."
CAND_0071747,58,0.6307,"Rank 58: blended fit 0.63 (semantic match 0.58, behavioral engagement 0.76). Weaker fit — included as a lower-rank option."
CAND_0007596,59,0.6306,"Rank 59: blended fit 0.63 (semantic match 0.56, behavioral engagement 0.80). Weaker fit — included as a lower-rank option."
CAND_0021255,60,0.6299,"Rank 60: blended fit 0.63 (semantic match 0.62, behavioral engagement 0.65). Weaker fit — included as a lower-rank option."
CAND_0028527,61,0.6297,"Rank 61: blended fit 0.63 (semantic match 0.56, behavioral engagement 0.78). Weaker fit — included as a lower-rank option."
CAND_0068351,62,0.6297,"Rank 62: blended fit 0.63 (semantic match 0.59, behavioral engagement 0.73). Weaker fit — included as a lower-rank option."
CAND_0090300,63,0.6296,"Rank 63: blended fit 0.63 (semantic match 0.56, behavioral engagement 0.79). Weaker fit — included as a lower-rank option."
CAND_0061257,64,0.6294,"Rank 64: blended fit 0.63 (semantic match 0.55, behavioral engagement 0.81). Weaker fit — included as a lower-rank option."
CAND_0099965,65,0.6294,"Rank 65: blended fit 0.63 (semantic match 0.57, behavioral engagement 0.77). Weaker fit — included as a lower-rank option."
CAND_0005085,66,0.6292,"Rank 66: blended fit 0.63 (semantic match 0.60, behavioral engagement 0.69). Weaker fit — included as a lower-rank option."
CAND_0021112,67,0.6290,"Rank 67: blended fit 0.63 (semantic match 0.60, behavioral engagement 0.70). Weaker fit — included as a lower-rank option."
CAND_0055960,68,0.6290,"Rank 68: blended fit 0.63 (semantic match 0.54, behavioral engagement 0.83). Weaker fit — included as a lower-rank option."
CAND_0019480,69,0.6282,"Rank 69: blended fit 0.63 (semantic match 0.56, behavioral engagement 0.79). Weaker fit — included as a lower-rank option."
CAND_0045250,70,0.6282,"Rank 70: blended fit 0.63 (semantic match 0.58, behavioral engagement 0.73). Weaker fit — included as a lower-rank option."
CAND_0048558,71,0.6282,"Rank 71: blended fit 0.63 (semantic match 0.56, behavioral engagement 0.80). Weaker fit — included as a lower-rank option."
CAND_0074735,72,0.6279,"Rank 72: blended fit 0.63 (semantic match 0.57, behavioral engagement 0.75). Weaker fit — included as a lower-rank option."
CAND_0067866,73,0.6277,"Rank 73: blended fit 0.63 (semantic match 0.57, behavioral engagement 0.77). Weaker fit — included as a lower-rank option."
CAND_0007460,74,0.6275,"Rank 74: blended fit 0.63 (semantic match 0.59, behavioral engagement 0.71). Weaker fit — included as a lower-rank option."
CAND_0087744,75,0.6275,"Rank 75: blended fit 0.63 (semantic match 0.58, behavioral engagement 0.74). Weaker fit — included as a lower-rank option."
CAND_0064904,76,0.6273,"Rank 76: blended fit 0.63 (semantic match 0.59, behavioral engagement 0.71). Weaker fit — included as a lower-rank option."
CAND_0065195,77,0.6271,"Rank 77: blended fit 0.63 (semantic match 0.58, behavioral engagement 0.73). Weaker fit — included as a lower-rank option."
CAND_0033179,78,0.6265,"Rank 78: blended fit 0.63 (semantic match 0.56, behavioral engagement 0.78). Weaker fit — included as a lower-rank option."
CAND_0052142,79,0.6264,"Rank 79: blended fit 0.63 (semantic match 0.62, behavioral engagement 0.65). Weaker fit — included as a lower-rank option."
CAND_0012840,80,0.6258,"Rank 80: blended fit 0.63 (semantic match 0.54, behavioral engagement 0.82). Weaker fit — included as a lower-rank option."
CAND_0016425,81,0.6257,"Rank 81: blended fit 0.63 (semantic match 0.63, behavioral engagement 0.60). Weaker fit — included as a lower-rank option."
CAND_0019288,82,0.6255,"Rank 82: blended fit 0.63 (semantic match 0.60, behavioral engagement 0.69). Weaker fit — included as a lower-rank option."
CAND_0053774,83,0.6255,"Rank 83: blended fit 0.63 (semantic match 0.65, behavioral engagement 0.58). Weaker fit — included as a lower-rank option."
CAND_0020708,84,0.6250,"Rank 84: blended fit 0.62 (semantic match 0.57, behavioral engagement 0.76). Weaker fit — included as a lower-rank option."
CAND_0014063,85,0.6249,"Rank 85: blended fit 0.62 (semantic match 0.60, behavioral engagement 0.68). Weaker fit — included as a lower-rank option."
CAND_0028793,86,0.6247,"Rank 86: blended fit 0.62 (semantic match 0.57, behavioral engagement 0.75). Weaker fit — included as a lower-rank option."
CAND_0057294,87,0.6244,"Rank 87: blended fit 0.62 (semantic match 0.59, behavioral engagement 0.71). Weaker fit — included as a lower-rank option."
CAND_0005816,88,0.6242,"Rank 88: blended fit 0.62 (semantic match 0.60, behavioral engagement 0.67). Weaker fit — included as a lower-rank option."
CAND_0075491,89,0.6242,"Rank 89: blended fit 0.62 (semantic match 0.61, behavioral engagement 0.67). Weaker fit — included as a lower-rank option."
CAND_0010257,90,0.6241,"Rank 90: blended fit 0.62 (semantic match 0.57, behavioral engagement 0.74). Weaker fit — included as a lower-rank option."
CAND_0081704,91,0.6240,"Rank 91: blended fit 0.62 (semantic match 0.63, behavioral engagement 0.62). Weaker fit — included as a lower-rank option."
CAND_0083879,92,0.6236,"Rank 92: blended fit 0.62 (semantic match 0.58, behavioral engagement 0.72). Weaker fit — included as a lower-rank option."
CAND_0003717,93,0.6234,"Rank 93: blended fit 0.62 (semantic match 0.57, behavioral engagement 0.75). Weaker fit — included as a lower-rank option."
CAND_0054546,94,0.6232,"Rank 94: blended fit 0.62 (semantic match 0.55, behavioral engagement 0.80). Weaker fit — included as a lower-rank option."
CAND_0050454,95,0.6231,"Rank 95: blended fit 0.62 (semantic match 0.57, behavioral engagement 0.75). Weaker fit — included as a lower-rank option."
CAND_0071131,96,0.6231,"Rank 96: blended fit 0.62 (semantic match 0.55, behavioral engagement 0.80). Weaker fit — included as a lower-rank option."
CAND_0022912,97,0.6230,"Rank 97: blended fit 0.62 (semantic match 0.58, behavioral engagement 0.72). Weaker fit — included as a lower-rank option."
CAND_0072232,98,0.6227,"Rank 98: blended fit 0.62 (semantic match 0.60, behavioral engagement 0.67). Weaker fit — included as a lower-rank option."
CAND_0010603,99,0.6226,"Rank 99: blended fit 0.62 (semantic match 0.55, behavioral engagement 0.79). Weaker fit — included as a lower-rank option."
CAND_0093275,100,0.6223,"Rank 100: blended fit 0.62 (semantic match 0.60, behavioral engagement 0.68). Weaker fit — included as a lower-rank option."
